fast_period,slow_period,sharpe_ratio,annual_return,max_drawdown,calmar_ratio,total_trades
20,41,-39.48345361194807,0.02349116482394109,-0.09267435926067351,0.25348073632605733,14
19,55,-39.48372461567245,0.014963516105281904,-0.10050610805444653,0.14888165898510183,10
5,44,-39.483916837630034,0.03475169931090871,-0.10986649351886332,0.31630844125322055,16
19,56,-39.48450122299404,0.015962377043066134,-0.10050212883356553,0.1588262579940003,10
5,48,-39.48804959307065,0.026439188541749203,-0.12412933196462039,0.21299710651214138,17
3,46,-39.488224876087244,0.02305435421965374,-0.11360409978667277,0.20293593508460964,26
16,59,-39.49320042813027,0.03284858920120648,-0.08448877370810973,0.38879235381840416,9
5,49,-39.49385016982079,0.02546326695918033,-0.11493941071933943,0.22153643210645016,16
9,52,-39.49848921571641,0.033132973594796056,-0.08136307379778973,0.40722372015025976,11
9,51,-39.4990722717108,0.03387674635388915,-0.08136067499046015,0.41637740048077687,10
17,59,-39.49944995610652,0.030880980452496765,-0.08449655618127777,0.36547028480362115,9
15,58,-39.50682611774768,0.033887579475422314,-0.09502193080852864,0.35662903486676734,9
16,60,-39.50795508347925,0.034208871631391524,-0.0844842178790647,0.40491434365126,9
18,32,-39.514474424620104,0.011336568576880701,-0.10724739675432458,0.10570483685352085,16
12,52,-39.51543741284028,0.0345822918079719,-0.08796996488112882,0.3931147620065771,10
7,51,-39.527184222647314,0.03678443032051337,-0.08393937319272693,0.4382261735032902,12
20,43,-39.531376126551635,0.027136081866463435,-0.09190245482760695,0.29527047908966103,15
7,49,-39.53630402502255,0.03401502264386291,-0.09813426070003034,0.34661719975491084,16
16,58,-39.53712768184316,0.03168296589941555,-0.09502772299735805,0.333407608854275,9
16,57,-39.53761357323765,0.03224187318970895,-0.09502561777825022,0.3392966438265932,9
13,57,-39.539142342199035,0.032229145719941954,-0.08476987549771456,0.3801957420689012,9
20,51,-39.54198962637642,0.017509887341504715,-0.1150549491790973,0.15218717201159598,10
17,31,-39.54296153332353,0.007128105602993706,-0.1191553559308678,0.05982194881050357,17
17,34,-39.54423263174573,0.015311592541533692,-0.0962376650505944,0.1591018707019131,17
20,52,-39.544424841986846,0.01769911525451029,-0.11505267443161903,0.15383488773248524,10
5,45,-39.54444942455913,0.028370857019632822,-0.11574724373012621,0.24511043291693152,19
13,53,-39.55006384570486,0.03047076029649709,-0.08645916232140638,0.35242951097795744,9
8,52,-39.55681636873654,0.03174086800619147,-0.07952161445329738,0.3991476810978569,11
19,29,-39.5597787181998,0.014930805504387301,-0.11395380994574128,0.13102506630973157,20
14,53,-39.56197961070427,0.029609003930586297,-0.08646764538780738,0.3424287061107067,9
8,51,-39.56237656801828,0.03278413145120229,-0.07951940296738937,0.4122783902772377,11
16,31,-39.56526845504551,0.014755326803950197,-0.09256496057888426,0.15940510006889316,17
14,54,-39.567924975207745,0.030487163237591375,-0.08968757772500471,0.3399262641596755,9
14,32,-39.569325766274474,0.020739419477866505,-0.08664244076404605,0.23936790440087333,18
3,44,-39.57851763894933,0.01610249351575721,-0.13241400047605956,0.12160718245702834,27
3,45,-39.578882515102535,0.020975666950651117,-0.11846738137246107,0.17705858530546636,26
18,43,-39.58114209199901,0.017849549370896334,-0.09269317489331419,0.1925659509606871,14
14,58,-39.582805615565846,0.030109872241301794,-0.09568084584739837,0.31469069879800293,9
14,55,-39.58299604312518,0.03102240422281355,-0.08968567476784983,0.3459014419316644,9
15,34,-39.58310787630926,0.016026076963160385,-0.08979171955944514,0.17848056637951545,15
17,52,-39.59039113574471,0.027077696969479703,-0.09512375826646699,0.28465756045537915,10
20,53,-39.591789867966746,0.02001167072109844,-0.11504213068787683,0.17395080047145958,9
15,57,-39.59207077615817,0.03664406163412792,-0.08411580178206317,0.43563826127544436,9
8,50,-39.592259525819166,0.02975192236003288,-0.0860768212918324,0.34564383202724,13
20,45,-39.59303612816524,0.020463983306417965,-0.09352846338839003,0.21879952439118358,12
19,30,-39.59708938255686,0.018477019535212413,-0.10122250700646301,0.1825386475957631,20
13,54,-39.598985735163744,0.03159653723494582,-0.08645530406869872,0.3654667296044523,9
14,56,-39.609662158058235,0.03416443502088917,-0.0841240705572748,0.4061196135014502,9
19,53,-39.611187657052746,0.017370207173117436,-0.10415743869431877,0.16676876266221863,9
16,30,-39.61726547508249,0.014915424340600225,-0.10210834694232324,0.14607448643767906,16
19,43,-39.61798188738359,0.020578335024734606,-0.09268506163727859,0.2220242902277777,14
15,32,-39.61910627698851,0.016042306903041315,-0.08325650575902697,0.19268532539034583,16
20,44,-39.6220073149088,0.02885871780411442,-0.09189617910500847,0.3140361012304763,13
5,43,-39.62464446803464,0.027239312117077752,-0.11934836427859324,0.22823364427092943,17
19,52,-39.63129642196281,0.018039951942694366,-0.10415467380723024,0.1732034798177445,9
4,43,-39.631542192083074,0.030512708165808533,-0.10694735774802194,0.2853058627002207,22
14,57,-39.636986159055404,0.03509576471696363,-0.08476566301395833,0.414032799002403,9
15,55,-39.637163786403356,0.0324766344851124,-0.08967813415410902,0.3621466346445426,9
20,29,-39.6374479452424,0.018071895973603702,-0.09488417305129315,0.1904627019706887,21
10,51,-39.638925801097194,0.03256891733316447,-0.08718761306149202,0.3735498219247514,10
15,29,-39.641372693812315,0.024133048929231293,-0.09702331207795878,0.24873454031171657,16
18,53,-39.64150674255146,0.025286142939240364,-0.09711200601212899,0.26038122347181464,10
20,31,-39.64364978744558,0.018249894160526914,-0.08624899652312126,0.21159543758441945,21
15,56,-39.64420441375474,0.035290344234395477,-0.08412031587803648,0.4195222505531469,9
13,55,-39.64594041792319,0.028553291158273097,-0.09033347027610507,0.3160876148231625,9
14,34,-39.647116919151244,0.017350394791515455,-0.09921242065854341,0.17488127672269804,15
13,34,-39.649914187898105,0.018739121647737278,-0.08784085827930395,0.2133303569069563,15
5,41,-39.65019536480177,0.030466434735654246,-0.1121253398695858,0.2717176578558432,17
19,33,-39.65120538698203,0.011331993578900246,-0.11642845361748799,0.0973301046849783,17
17,43,-39.65180954912037,0.01542669822736098,-0.09920981351040736,0.15549568819361484,14
20,36,-39.65364469344069,0.018470096740164088,-0.09288269690262425,0.19885401001574757,17
5,40,-39.65528428214384,0.02988925922791097,-0.1177668777075854,0.2538002179367093,17
16,44,-39.65667365113282,0.01564036283623338,-0.09921159722845138,0.1576465178785381,14
17,45,-39.66142036702695,0.0245157984289035,-0.09825775081057368,0.2495049828299684,13
18,59,-39.663016412639614,0.02597901909662248,-0.09553135034500573,0.2719423414701123,9
11,31,-39.66508437825449,0.02290558952380284,-0.08276349754450438,0.2767595643415846,19
5,36,-39.67083799797301,0.034737005415075295,-0.12192427120582053,0.2849064019126734,18
15,37,-39.67144253526062,0.021574591136630517,-0.09087322358099977,0.2374141720349562,15
18,50,-39.67387679130686,0.02334677646556038,-0.09513979225947336,0.24539444443905303,11
18,58,-39.67505332624256,0.024142663944282106,-0.09553830496332072,0.2527014055100832,9
5,37,-39.68405072634444,0.035809044278245494,-0.1157007741628982,0.3094970153598885,18
18,44,-39.68873858002046,0.01886665596941839,-0.0926894372927651,0.20354699003972732,13
20,47,-39.689389692198084,0.018696857381583776,-0.10970278223768133,0.17043193436129347,12
5,42,-39.69099285624218,0.027914466908307567,-0.11933835677352864,0.23391026710114288,17
12,33,-39.69138390151901,0.027632896879903335,-0.07808988326207668,0.353860138158548,16
20,28,-39.69713793214074,0.015841765639179606,-0.10886551598845474,0.1455168378649823,21
17,30,-39.706397488620084,0.00189222671758138,-0.1281577291541018,0.014764827139735703,17
15,31,-39.70807844204523,0.024185057753767225,-0.08823043541513927,0.2741124152903972,16
19,31,-39.714217191419706,0.011886051409581988,-0.09876422790525019,0.12034773785691832,20
18,29,-39.71651472936484,0.008237696405477557,-0.12125185075828165,0.06793872715311862,20
17,46,-39.717177166221276,0.027446202234493455,-0.09265660994462145,0.29621418537649247,12
19,51,-39.71949898448741,0.015216589878819242,-0.10416633003008408,0.14607973492417914,10
17,51,-39.72097972429027,0.022784237435580224,-0.0951399495608949,0.2394812856296191,10
14,49,-39.72165436770453,0.023966963967425592,-0.0872400935087455,0.2747241893433206,11
